#GENE	CTX-M-CRE1
0610005C13Rik	1
0610006L08Rik	0
0610009B22Rik	372
0610009E02Rik	14
0610009L18Rik	45
0610010F05Rik	1220
0610010K14Rik	10
0610012D04Rik	0
0610012G03Rik	814
0610025J13Rik	0
0610030E20Rik	254
0610031O16Rik	0
0610033M10Rik	0
0610038B21Rik	4
0610039K10Rik	1
0610040B10Rik	32
0610040F04Rik	13
0610040J01Rik	270
0610043K17Rik	2
0710001A04Rik	0
1010001B22Rik	6
1100001I12Rik	0
1110002E22Rik	120
1110002J07Rik	29
1110002L01Rik	301
1110002O04Rik	4
1110003F10Rik	3
1110004F10Rik	2021
1110006O24Rik	11
1110008E08Rik	0
1110008P14Rik	3719
1110012L19Rik	278
1110013H19Rik	3
1110015O18Rik	22
1110017D15Rik	27
1110018N20Rik	106
1110019B22Rik	0
1110019D14Rik	39
1110020A21Rik	20
1110025L11Rik	0
1110025M09Rik	15
1110028F11Rik	0
1110028F18Rik	0
1110032A03Rik	765
1110032F04Rik	425
1110035H17Rik	1
1110038B12Rik	158
1110038F14Rik	279
1110046J04Rik	77
1110051M20Rik	1453
1110057P08Rik	0
1110059E24Rik	501
1110059G10Rik	306
1110060G06Rik	2
1110065P20Rik	891
1190001M18Rik	0
1190005I06Rik	23
1190007I07Rik	104
1190028D05Rik	0
1200007C13Rik	0
1300002E11Rik	87
1300014J16Rik	0
1300017J02Rik	4
1500002C15Rik	26
1500002F19Rik	6
1500004A13Rik	1325
1500005C15Rik	2
1500009C09Rik	3230
1500009L16Rik	219
1500011B03Rik	2084
1500012K07Rik	5
1500015A07Rik	34
1500015L24Rik	3
1500026H17Rik	60
1500032F14Rik	1
1500035N22Rik	31
1520401A03Rik	3
1600002D24Rik	0
1600010M07Rik	2
1600012H06Rik	471
1600012P17Rik	0
1600014C10Rik	832
1600014C23Rik	4
1600017P15Rik	6
1600019K03Rik	0
1600020E01Rik	91
1600022D10Rik	0
1600023N17Rik	7
1600025M17Rik	0
1600027J07Rik	2
1600029O15Rik	50
1700001C19Rik	3
