#GENE	CTX-M-DSVA3
0610005C13Rik	1
0610006L08Rik	0
0610009B22Rik	395
0610009E02Rik	38
0610009L18Rik	37
0610010F05Rik	1093
0610010K14Rik	20
0610012D04Rik	0
0610012G03Rik	618
0610025J13Rik	0
0610030E20Rik	283
0610031O16Rik	0
0610033M10Rik	0
0610038B21Rik	6
0610039K10Rik	1
0610040B10Rik	54
0610040F04Rik	16
0610040J01Rik	250
0610043K17Rik	1
0710001A04Rik	0
1010001B22Rik	10
1100001I12Rik	0
1110002E22Rik	112
1110002J07Rik	31
1110002L01Rik	334
1110002O04Rik	15
1110003F10Rik	7
1110004F10Rik	1886
1110006O24Rik	8
1110008E08Rik	0
1110008P14Rik	3192
1110012L19Rik	250
1110013H19Rik	10
1110015O18Rik	26
1110017D15Rik	30
1110018N20Rik	188
1110019B22Rik	0
1110019D14Rik	47
1110020A21Rik	22
1110025L11Rik	0
1110025M09Rik	17
1110028F11Rik	0
1110028F18Rik	0
1110032A03Rik	721
1110032F04Rik	359
1110035H17Rik	2
1110038B12Rik	191
1110038F14Rik	235
1110046J04Rik	94
1110051M20Rik	1002
1110057P08Rik	0
1110059E24Rik	588
1110059G10Rik	358
1110060G06Rik	2
1110065P20Rik	878
1190001M18Rik	0
1190005I06Rik	15
1190007I07Rik	132
1190028D05Rik	0
1200007C13Rik	0
1300002E11Rik	105
1300014J16Rik	5
1300017J02Rik	0
1500002C15Rik	14
1500002F19Rik	6
1500004A13Rik	1071
1500005C15Rik	0
1500009C09Rik	2622
1500009L16Rik	226
1500011B03Rik	1735
1500012K07Rik	7
1500015A07Rik	42
1500015L24Rik	2
1500026H17Rik	102
1500032F14Rik	0
1500035N22Rik	121
1520401A03Rik	1
1600002D24Rik	0
1600010M07Rik	1
1600012H06Rik	344
1600012P17Rik	0
1600014C10Rik	534
1600014C23Rik	9
1600017P15Rik	0
1600019K03Rik	0
1600020E01Rik	254
1600022D10Rik	1
1600023N17Rik	4
1600025M17Rik	0
1600027J07Rik	1
1600029O15Rik	29
1700001C19Rik	1
