"","CRE","DSVA","XDP"
"4833412C05Rik",FALSE,TRUE,TRUE
"4833412K13Rik",FALSE,TRUE,FALSE
"4930447C04Rik",FALSE,TRUE,FALSE
"4930471C04Rik",FALSE,TRUE,FALSE
"4930478M13Rik",FALSE,TRUE,FALSE
"4930518I15Rik",FALSE,TRUE,FALSE
"4930534D22Rik",FALSE,TRUE,FALSE
"4932441J04Rik",FALSE,TRUE,FALSE
"4933406I18Rik",FALSE,TRUE,FALSE
"4933407E24Rik",FALSE,TRUE,FALSE
"4933432I09Rik",FALSE,TRUE,FALSE
"5031434O11Rik",FALSE,TRUE,FALSE
"5430400D12Rik",FALSE,TRUE,FALSE
"5430416N02Rik",FALSE,TRUE,FALSE
"5730521K06Rik",FALSE,TRUE,FALSE
"5830418P13Rik",FALSE,TRUE,FALSE
"5930438M14Rik",FALSE,TRUE,TRUE
"6330420H09Rik",FALSE,TRUE,FALSE
"6430511E19Rik",FALSE,TRUE,FALSE
"6430590A07Rik",FALSE,TRUE,FALSE
"6720427I07Rik",FALSE,TRUE,FALSE
"8430422M14Rik",FALSE,TRUE,FALSE
"9130017K11Rik",FALSE,TRUE,FALSE
"9130024F11Rik",FALSE,TRUE,TRUE
"9130227L01Rik",FALSE,TRUE,TRUE
"9230102K24Rik",FALSE,TRUE,FALSE
"9330102E08Rik",FALSE,TRUE,FALSE
"9330121K16Rik",FALSE,TRUE,TRUE
"9430064I24Rik",FALSE,TRUE,FALSE
"9430065F17Rik",FALSE,TRUE,FALSE
"9430081H08Rik",FALSE,TRUE,FALSE
"9530080O11Rik",FALSE,TRUE,TRUE
"9630002D21Rik",FALSE,TRUE,FALSE
"9830166K06Rik",FALSE,TRUE,TRUE
"A230051N06Rik",FALSE,TRUE,FALSE
"A230057D06Rik",FALSE,TRUE,FALSE
"A330009N23Rik",FALSE,TRUE,TRUE
"A330023F24Rik",FALSE,TRUE,FALSE
"A330074H02Rik",FALSE,TRUE,FALSE
"A330076H08Rik",FALSE,TRUE,FALSE
"A330084C13Rik",FALSE,TRUE,TRUE
"A430110L20Rik",FALSE,TRUE,FALSE
"A530021J07Rik",FALSE,TRUE,TRUE
"A530076I17Rik",FALSE,TRUE,FALSE
"A730060N03Rik",FALSE,TRUE,FALSE
"A730091E23Rik",FALSE,TRUE,FALSE
"A830009L08Rik",FALSE,TRUE,TRUE
"A830018L16Rik",FALSE,TRUE,TRUE
"A830019L24Rik",FALSE,TRUE,TRUE
"A830029E22Rik",FALSE,TRUE,TRUE
"A830036E02Rik",FALSE,TRUE,TRUE
"A830082K12Rik",FALSE,TRUE,TRUE
"A930004J17Rik",FALSE,TRUE,FALSE
"A930012L18Rik",FALSE,TRUE,TRUE
"A930024E05Rik",FALSE,TRUE,FALSE
"A930036I15Rik",FALSE,TRUE,FALSE
"AC107792.1",FALSE,TRUE,FALSE
"AC135859.1",FALSE,TRUE,FALSE
"AC169509.1",FALSE,TRUE,FALSE
"AI115009",FALSE,TRUE,TRUE
"AI413582",FALSE,TRUE,FALSE
"AI480526",FALSE,TRUE,FALSE
"AW495222",FALSE,TRUE,FALSE
"Abca12",FALSE,TRUE,FALSE
"Abcb1b",FALSE,TRUE,FALSE
"Abhd17a",FALSE,TRUE,FALSE
"Acot13",FALSE,TRUE,FALSE
"Acyp1",FALSE,TRUE,FALSE
"Acyp2",FALSE,TRUE,FALSE
"Adam18",FALSE,TRUE,TRUE
"Adam8",FALSE,TRUE,FALSE
"Adamts10",FALSE,TRUE,FALSE
"Adamts13",FALSE,TRUE,TRUE
"Adap1",FALSE,TRUE,TRUE
"Adcy10",FALSE,TRUE,TRUE
"Adcyap1",FALSE,TRUE,TRUE
"Akap7",FALSE,TRUE,TRUE
"Aldh1a3",FALSE,TRUE,TRUE
"Aldh3a1",FALSE,TRUE,TRUE
"Alpk1",FALSE,TRUE,FALSE
"Alx4",FALSE,TRUE,FALSE
"Amn",FALSE,TRUE,TRUE
"Ankrd13b",FALSE,TRUE,FALSE
"Ankrd16",FALSE,TRUE,FALSE
"Ankrd22",FALSE,TRUE,FALSE
"Ankrd23",FALSE,TRUE,FALSE
"Ankrd31",FALSE,TRUE,TRUE
"Aopep",FALSE,TRUE,FALSE
"Aox4",FALSE,TRUE,FALSE
"Apba1",FALSE,TRUE,TRUE
"Apc",FALSE,TRUE,TRUE
"Apol7a",FALSE,TRUE,TRUE
"Apol7b",FALSE,TRUE,FALSE
"Aprt-ps",FALSE,TRUE,FALSE
"Arc",FALSE,TRUE,TRUE
"Arhgap15",FALSE,TRUE,TRUE
"Arhgdig",FALSE,TRUE,TRUE
"Arntl2",FALSE,TRUE,FALSE
"Atoh7",FALSE,TRUE,TRUE
"Atox1",FALSE,TRUE,FALSE
"Atp11b",FALSE,TRUE,FALSE
"Atp12a",FALSE,TRUE,TRUE
"Atp2a1",FALSE,TRUE,FALSE
"Atp5e",FALSE,TRUE,FALSE
"Atp5j2",FALSE,TRUE,FALSE
"Atp5k",FALSE,TRUE,FALSE
"Atp5k-ps2",FALSE,TRUE,FALSE
"Atp5l",FALSE,TRUE,FALSE
"Atp5md",FALSE,TRUE,FALSE
"Atp5mpl",FALSE,TRUE,FALSE
"Atp6ap1l",FALSE,TRUE,TRUE
"Atpif1",FALSE,TRUE,FALSE
"Avpi1",FALSE,TRUE,FALSE
"B230216N24Rik",FALSE,TRUE,TRUE
"B230307C23Rik",FALSE,TRUE,FALSE
"B230312C02Rik",FALSE,TRUE,FALSE
"B3galt2",FALSE,TRUE,TRUE
"B4galt2",FALSE,TRUE,FALSE
"BB557941",FALSE,TRUE,FALSE
"BC006965",FALSE,TRUE,FALSE
"BC028528",FALSE,TRUE,FALSE
"BC055308",FALSE,TRUE,FALSE
"Baalc",FALSE,TRUE,FALSE
"Bbip1",FALSE,TRUE,FALSE
"Bcas1os2",FALSE,TRUE,FALSE
"Bcl6b",FALSE,TRUE,TRUE
"Bdnf",FALSE,TRUE,TRUE
"Bglap3",FALSE,TRUE,FALSE
"Bicdl1",FALSE,TRUE,FALSE
"Bnip3",FALSE,TRUE,FALSE
"Boc",FALSE,TRUE,TRUE
"Brd8dc",FALSE,TRUE,FALSE
"Brsk1",FALSE,TRUE,FALSE
"Bsn",FALSE,TRUE,TRUE
"Btn2a2",FALSE,TRUE,TRUE
"Bud31",FALSE,TRUE,FALSE
"C030013G03Rik",FALSE,TRUE,FALSE
"C030018K13Rik",FALSE,TRUE,FALSE
"C130021I20Rik",FALSE,TRUE,FALSE
"C130023A14Rik",FALSE,TRUE,FALSE
"C230034O21Rik",FALSE,TRUE,TRUE
"C230057M02Rik",FALSE,TRUE,TRUE
"C630031E19Rik",FALSE,TRUE,FALSE
"C78859",FALSE,TRUE,FALSE
"Cacnb3",FALSE,TRUE,TRUE
"Cacng7",FALSE,TRUE,FALSE
"Camk2a",FALSE,TRUE,TRUE
"Camk2n1",FALSE,TRUE,TRUE
"Camta2",FALSE,TRUE,TRUE
"Car7",FALSE,TRUE,TRUE
"Car8",FALSE,TRUE,TRUE
"Cav2",FALSE,TRUE,TRUE
"Ccdc159",FALSE,TRUE,FALSE
"Ccdc178",FALSE,TRUE,FALSE
"Ccdc192",FALSE,TRUE,FALSE
"Ccdc84",FALSE,TRUE,FALSE
"Ccl17",FALSE,TRUE,FALSE
"Ccl27a",FALSE,TRUE,TRUE
"Ccng1",FALSE,TRUE,FALSE
"Ccni",FALSE,TRUE,FALSE
"Cd200r1",FALSE,TRUE,FALSE
"Cd46",FALSE,TRUE,FALSE
"Cd6",FALSE,TRUE,TRUE
"Cdh12",FALSE,TRUE,TRUE
"Cdk16",FALSE,TRUE,FALSE
"Cdk3",FALSE,TRUE,FALSE
"Cdk5r2",FALSE,TRUE,TRUE
"Cdsn",FALSE,TRUE,TRUE
"Cela1",FALSE,TRUE,FALSE
"Celrr",FALSE,TRUE,FALSE
"Cenpa",FALSE,TRUE,TRUE
"Cenpb",FALSE,TRUE,FALSE
"Cenpw",FALSE,TRUE,FALSE
"Cetn3",FALSE,TRUE,FALSE
"Cfp",FALSE,TRUE,FALSE
"Chchd1",FALSE,TRUE,FALSE
"Chrd",FALSE,TRUE,TRUE
"Chrdl1",FALSE,TRUE,TRUE
"Chrna1os",FALSE,TRUE,TRUE
"Chrna6",FALSE,TRUE,FALSE
"Churc1",FALSE,TRUE,FALSE
"Ciao2a",FALSE,TRUE,FALSE
"Clasrp",FALSE,TRUE,FALSE
"Clca3a1",FALSE,TRUE,FALSE
"Clcn1",FALSE,TRUE,FALSE
"Cldn22",FALSE,TRUE,TRUE
"Clec11a",FALSE,TRUE,TRUE
"Clec18a",FALSE,TRUE,FALSE
"Clk1",FALSE,TRUE,FALSE
"Clk4",FALSE,TRUE,FALSE
"Coa3",FALSE,TRUE,FALSE
"Coa6",FALSE,TRUE,FALSE
"Col19a1",FALSE,TRUE,TRUE
"Col24a1",FALSE,TRUE,FALSE
"Col5a1",FALSE,TRUE,TRUE
"Commd2",FALSE,TRUE,FALSE
"Cops9",FALSE,TRUE,FALSE
"Coq2",FALSE,TRUE,FALSE
"Coq4",FALSE,TRUE,FALSE
"Cox4i1",FALSE,TRUE,FALSE
"Cox6a1",FALSE,TRUE,FALSE
"Cox6a2",FALSE,TRUE,FALSE
"Cox6b1",FALSE,TRUE,FALSE
"Cox6c",FALSE,TRUE,FALSE
"Cox7a2",FALSE,TRUE,FALSE
"Cox7b",FALSE,TRUE,FALSE
"Cox7c",FALSE,TRUE,FALSE
"Cox8a",FALSE,TRUE,FALSE
"Cpa2",FALSE,TRUE,FALSE
"Cpeb1os1",FALSE,TRUE,FALSE
"Cpne1",FALSE,TRUE,FALSE
"Cpne9",FALSE,TRUE,FALSE
"Cps1",FALSE,TRUE,TRUE
"Crem",FALSE,TRUE,FALSE
"Cryab",FALSE,TRUE,TRUE
"Crybb3",FALSE,TRUE,FALSE
"Crybg2",FALSE,TRUE,FALSE
"Cst6",FALSE,TRUE,FALSE
"Cstl1",FALSE,TRUE,FALSE
"Ctsk",FALSE,TRUE,TRUE
"Cux2",FALSE,TRUE,TRUE
"Cuzd1",FALSE,TRUE,FALSE
"Cyp2f2",FALSE,TRUE,FALSE
"Cyp4b1",FALSE,TRUE,FALSE
"Cys1",FALSE,TRUE,FALSE
"D430018E03Rik",FALSE,TRUE,FALSE
"D5Ertd615e",FALSE,TRUE,FALSE
"D830044D21Rik",FALSE,TRUE,TRUE
"D930019O06Rik",FALSE,TRUE,TRUE
"Dab2ip",FALSE,TRUE,FALSE
"Dact3",FALSE,TRUE,FALSE
"Dapk2",FALSE,TRUE,TRUE
"Dbh",FALSE,TRUE,TRUE
"Dcdc2b",FALSE,TRUE,FALSE
"Dcst2",FALSE,TRUE,FALSE
"Depdc7",FALSE,TRUE,FALSE
"Dgcr6",FALSE,TRUE,FALSE
"Dgkz",FALSE,TRUE,TRUE
"Dio2",FALSE,TRUE,TRUE
"Dkk3",FALSE,TRUE,TRUE
"Dkkl1",FALSE,TRUE,TRUE
"Dleu2",FALSE,TRUE,FALSE
"Dlg2",FALSE,TRUE,FALSE
"Dlg4",FALSE,TRUE,FALSE
"Dlgap1",FALSE,TRUE,TRUE
"Dlgap3",FALSE,TRUE,FALSE
"Dmpk",FALSE,TRUE,FALSE
"Dmrta2",FALSE,TRUE,FALSE
"Dnah14",FALSE,TRUE,FALSE
"Dnase1l2",FALSE,TRUE,FALSE
"Dok3",FALSE,TRUE,FALSE
"Dpy30",FALSE,TRUE,FALSE
"Dsc1",FALSE,TRUE,TRUE
"Dtl",FALSE,TRUE,TRUE
"Dusp3",FALSE,TRUE,TRUE
"Dusp6",FALSE,TRUE,TRUE
"Dynlt1a",FALSE,TRUE,FALSE
"Dynlt1b",FALSE,TRUE,FALSE
"E130102H24Rik",FALSE,TRUE,FALSE
"E230016M11Rik",FALSE,TRUE,FALSE
"E230020A03Rik",FALSE,TRUE,FALSE
"E330037G11Rik",FALSE,TRUE,FALSE
"E430014B02Rik",FALSE,TRUE,FALSE
"Echdc2",FALSE,TRUE,FALSE
"Eef1akmt1",FALSE,TRUE,FALSE
"Efcab10",FALSE,TRUE,FALSE
"Efcab6",FALSE,TRUE,TRUE
"Efr3a",FALSE,TRUE,TRUE
"Epb41l4aos",FALSE,TRUE,FALSE
"Ephx4",FALSE,TRUE,TRUE
"Eqtn",FALSE,TRUE,FALSE
"Espnl",FALSE,TRUE,FALSE
"Etv1",FALSE,TRUE,TRUE
"Exd2",FALSE,TRUE,TRUE
"Extl1",FALSE,TRUE,TRUE
"Eya1",FALSE,TRUE,TRUE
"Faah",FALSE,TRUE,TRUE
"Fam160a1",FALSE,TRUE,TRUE
"Fam193b",FALSE,TRUE,FALSE
"Fam227b",FALSE,TRUE,FALSE
"Fam57b",FALSE,TRUE,TRUE
"Fam81a",FALSE,TRUE,TRUE
"Fap",FALSE,TRUE,FALSE
"Fdx2",FALSE,TRUE,FALSE
"Fendrr",FALSE,TRUE,FALSE
"Fezf2",FALSE,TRUE,TRUE
"Fgd2",FALSE,TRUE,FALSE
"Fgf13",FALSE,TRUE,TRUE
"Fgf23",FALSE,TRUE,FALSE
"Fopnl",FALSE,TRUE,FALSE
"Foxh1",FALSE,TRUE,FALSE
"Foxl2os",FALSE,TRUE,FALSE
"Fth1",FALSE,TRUE,TRUE
"Ftx",FALSE,TRUE,FALSE
"Fxyd3",FALSE,TRUE,FALSE
"Fyb2",FALSE,TRUE,FALSE
"Fzd10",FALSE,TRUE,FALSE
"Fzd10os",FALSE,TRUE,TRUE
"Galnt9",FALSE,TRUE,TRUE
"Galt",FALSE,TRUE,TRUE
"Garnl3",FALSE,TRUE,TRUE
"Gcnt4",FALSE,TRUE,TRUE
"Gfod1",FALSE,TRUE,TRUE
"Gkn1",FALSE,TRUE,TRUE
"Gls2",FALSE,TRUE,TRUE
"Glt8d2",FALSE,TRUE,TRUE
"Gm10076",FALSE,TRUE,FALSE
"Gm10086",FALSE,TRUE,FALSE
"Gm10146",FALSE,TRUE,FALSE
"Gm10177",FALSE,TRUE,FALSE
"Gm10221",FALSE,TRUE,FALSE
"Gm10222",FALSE,TRUE,FALSE
"Gm10226",FALSE,TRUE,FALSE
"Gm10275",FALSE,TRUE,FALSE
"Gm10334",FALSE,TRUE,TRUE
"Gm10575",FALSE,TRUE,TRUE
"Gm10736",FALSE,TRUE,FALSE
"Gm10925",FALSE,TRUE,FALSE
"Gm11478",FALSE,TRUE,FALSE
"Gm11611",FALSE,TRUE,FALSE
"Gm11613",FALSE,TRUE,FALSE
"Gm11637",FALSE,TRUE,FALSE
"Gm11639",FALSE,TRUE,TRUE
"Gm11762",FALSE,TRUE,TRUE
"Gm11820",FALSE,TRUE,FALSE
"Gm11870",FALSE,TRUE,FALSE
"Gm11878",FALSE,TRUE,FALSE
"Gm11948",FALSE,TRUE,FALSE
"Gm11973",FALSE,TRUE,FALSE
"Gm11978",FALSE,TRUE,TRUE
"Gm12115",FALSE,TRUE,FALSE
"Gm12198",FALSE,TRUE,TRUE
"Gm12207",FALSE,TRUE,FALSE
"Gm12338",FALSE,TRUE,FALSE
"Gm12352",FALSE,TRUE,FALSE
"Gm12371",FALSE,TRUE,TRUE
"Gm12501",FALSE,TRUE,FALSE
"Gm12784",FALSE,TRUE,TRUE
"Gm12907",FALSE,TRUE,FALSE
"Gm12940",FALSE,TRUE,FALSE
"Gm13025",FALSE,TRUE,FALSE
"Gm13199",FALSE,TRUE,FALSE
"Gm13205",FALSE,TRUE,FALSE
"Gm13340",FALSE,TRUE,FALSE
"Gm13341",FALSE,TRUE,FALSE
"Gm13446",FALSE,TRUE,TRUE
"Gm13524",FALSE,TRUE,FALSE
"Gm13561",FALSE,TRUE,FALSE
"Gm13601",FALSE,TRUE,TRUE
"Gm13630",FALSE,TRUE,FALSE
"Gm13848",FALSE,TRUE,FALSE
"Gm14120",FALSE,TRUE,FALSE
"Gm14165",FALSE,TRUE,FALSE
"Gm14169",FALSE,TRUE,FALSE
"Gm14231",FALSE,TRUE,FALSE
"Gm14253",FALSE,TRUE,FALSE
"Gm14267",FALSE,TRUE,FALSE
"Gm14269",FALSE,TRUE,FALSE
"Gm14285",FALSE,TRUE,TRUE
"Gm14295",FALSE,TRUE,FALSE
"Gm14305",FALSE,TRUE,FALSE
"Gm14317",FALSE,TRUE,TRUE
"Gm14322",FALSE,TRUE,FALSE
"Gm14326",FALSE,TRUE,FALSE
"Gm14391",FALSE,TRUE,FALSE
"Gm14410",FALSE,TRUE,FALSE
"Gm14419",FALSE,TRUE,FALSE
"Gm14539",FALSE,TRUE,FALSE
"Gm14546",FALSE,TRUE,FALSE
"Gm14567",FALSE,TRUE,FALSE
"Gm14827",FALSE,TRUE,FALSE
"Gm15151",FALSE,TRUE,FALSE
"Gm15328",FALSE,TRUE,FALSE
"Gm15344",FALSE,TRUE,FALSE
"Gm15411",FALSE,TRUE,TRUE
"Gm15417",FALSE,TRUE,FALSE
"Gm15421",FALSE,TRUE,FALSE
"Gm15423",FALSE,TRUE,FALSE
"Gm15445",FALSE,TRUE,FALSE
"Gm15446",FALSE,TRUE,FALSE
"Gm15494",FALSE,TRUE,FALSE
"Gm15500",FALSE,TRUE,FALSE
"Gm15581",FALSE,TRUE,TRUE
"Gm15675",FALSE,TRUE,FALSE
"Gm15690",FALSE,TRUE,FALSE
"Gm15772",FALSE,TRUE,FALSE
"Gm15852",FALSE,TRUE,FALSE
"Gm15927",FALSE,TRUE,FALSE
"Gm15942",FALSE,TRUE,FALSE
"Gm15991",FALSE,TRUE,TRUE
"Gm15997",FALSE,TRUE,FALSE
"Gm16008",FALSE,TRUE,FALSE
"Gm16062",FALSE,TRUE,FALSE
"Gm16485",FALSE,TRUE,FALSE
"Gm16574",FALSE,TRUE,FALSE
"Gm17024",FALSE,TRUE,FALSE
"Gm17116",FALSE,TRUE,FALSE
"Gm17322",FALSE,TRUE,TRUE
"Gm17494",FALSE,TRUE,FALSE
"Gm17501",FALSE,TRUE,TRUE
"Gm17641",FALSE,TRUE,TRUE
"Gm17750",FALSE,TRUE,FALSE
"Gm17751",FALSE,TRUE,TRUE
"Gm17753",FALSE,TRUE,TRUE
"Gm17809",FALSE,TRUE,FALSE
"Gm17971",FALSE,TRUE,FALSE
"Gm18284",FALSE,TRUE,FALSE
"Gm18755",FALSE,TRUE,FALSE
"Gm18786",FALSE,TRUE,TRUE
"Gm18930",FALSE,TRUE,TRUE
"Gm19196",FALSE,TRUE,FALSE
"Gm19503",FALSE,TRUE,FALSE
"Gm19705",FALSE,TRUE,FALSE
"Gm19810",FALSE,TRUE,FALSE
"Gm20045",FALSE,TRUE,FALSE
"Gm20368",FALSE,TRUE,FALSE
"Gm20405",FALSE,TRUE,FALSE
"Gm20501",FALSE,TRUE,FALSE
"Gm20594",FALSE,TRUE,FALSE
"Gm20751",FALSE,TRUE,FALSE
"Gm20752",FALSE,TRUE,TRUE
"Gm20754",FALSE,TRUE,FALSE
"Gm20878",FALSE,TRUE,TRUE
"Gm20939",FALSE,TRUE,FALSE
"Gm2115",FALSE,TRUE,FALSE
"Gm21781",FALSE,TRUE,FALSE
"Gm21955",FALSE,TRUE,TRUE
"Gm21992",FALSE,TRUE,FALSE
"Gm22571",FALSE,TRUE,FALSE
"Gm22767",FALSE,TRUE,FALSE
"Gm2464",FALSE,TRUE,FALSE
"Gm24873",FALSE,TRUE,FALSE
"Gm24966",FALSE,TRUE,FALSE
"Gm25082",FALSE,TRUE,FALSE
"Gm25117",FALSE,TRUE,FALSE
"Gm25129",FALSE,TRUE,FALSE
"Gm25492",FALSE,TRUE,FALSE
"Gm25835",FALSE,TRUE,FALSE
"Gm26397",FALSE,TRUE,FALSE
"Gm26413",FALSE,TRUE,FALSE
"Gm26512",FALSE,TRUE,FALSE
"Gm26532",FALSE,TRUE,FALSE
"Gm26569",FALSE,TRUE,FALSE
"Gm26621",FALSE,TRUE,FALSE
"Gm26644",FALSE,TRUE,FALSE
"Gm26703",FALSE,TRUE,FALSE
"Gm26795",FALSE,TRUE,FALSE
"Gm26801",FALSE,TRUE,TRUE
"Gm26881",FALSE,TRUE,FALSE
"Gm26901",FALSE,TRUE,FALSE
"Gm26935",FALSE,TRUE,FALSE
"Gm26953",FALSE,TRUE,FALSE
"Gm26974",FALSE,TRUE,FALSE
"Gm26980",FALSE,TRUE,FALSE
"Gm27000",FALSE,TRUE,FALSE
"Gm27002",FALSE,TRUE,TRUE
"Gm27010",FALSE,TRUE,FALSE
"Gm27028",FALSE,TRUE,FALSE
"Gm27032",FALSE,TRUE,FALSE
"Gm27197",FALSE,TRUE,TRUE
"Gm27353",FALSE,TRUE,FALSE
"Gm27616",FALSE,TRUE,FALSE
"Gm2762",FALSE,TRUE,FALSE
"Gm28035",FALSE,TRUE,FALSE
"Gm28077",FALSE,TRUE,FALSE
"Gm28151",FALSE,TRUE,FALSE
"Gm28175",FALSE,TRUE,TRUE
"Gm2824",FALSE,TRUE,TRUE
"Gm28437",FALSE,TRUE,FALSE
"Gm28439",FALSE,TRUE,FALSE
"Gm28661",FALSE,TRUE,FALSE
"Gm28707",FALSE,TRUE,FALSE
"Gm28876",FALSE,TRUE,FALSE
"Gm29069",FALSE,TRUE,FALSE
"Gm29093",FALSE,TRUE,FALSE
"Gm29427",FALSE,TRUE,FALSE
"Gm29521",FALSE,TRUE,FALSE
"Gm29674",FALSE,TRUE,FALSE
"Gm29695",FALSE,TRUE,TRUE
